eps,min_samples,n_clusters,core_frac,silhouette_core
0.5,3,5,0.991992679020819,0.4846210777181267
0.5,5,3,0.9890185312285518,0.6561369934189453
0.5,8,1,0.9844429192404484,
0.5,12,1,0.9832990162434225,
0.5,20,1,0.9816975520475864,
0.8125,3,2,0.9938229238160604,0.8263152375756428
0.8125,5,1,0.9926790208190346,
0.8125,8,1,0.9903912148249828,
0.8125,12,1,0.9894760924273621,
0.8125,20,1,0.9878746282315259,
1.125,3,3,0.9947380462136811,0.8161053480702715
1.125,5,1,0.9931365820178449,
1.125,8,1,0.9931365820178449,
1.125,12,1,0.9926790208190346,
1.125,20,1,0.9899336536261725,
1.4375,3,2,0.9958819492107069,0.8253448705193841
1.4375,5,1,0.9935941432166552,
1.4375,8,1,0.9933653626172501,
1.4375,12,1,0.9933653626172501,
1.4375,20,1,0.9929078014184397,
1.75,3,2,0.9963395104095173,0.8201864763555237
1.75,5,2,0.9956531686113017,0.815398539237835
1.75,8,1,0.9938229238160604,
1.75,12,1,0.9938229238160604,
1.75,20,1,0.9938229238160604,
2.0625,3,2,0.9963395104095173,0.8201864763555237
2.0625,5,2,0.9958819492107069,0.8211768461811774
2.0625,8,1,0.9940517044154655,
2.0625,12,1,0.9938229238160604,
2.0625,20,1,0.9938229238160604,
2.375,3,1,0.9970258522077328,
2.375,5,1,0.9965682910089224,
2.375,8,1,0.9965682910089224,
2.375,12,1,0.9949668268130862,
2.375,20,1,0.9942804850148708,
2.6875,3,1,0.997254632807138,
2.6875,5,1,0.997254632807138,
2.6875,8,1,0.9967970716083276,
2.6875,12,1,0.9961107298101121,
2.6875,20,1,0.9949668268130862,
3.0,3,1,0.997254632807138,
3.0,5,1,0.997254632807138,
3.0,8,1,0.9967970716083276,
3.0,12,1,0.9961107298101121,
3.0,20,1,0.9958819492107069,
